City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Clyde River,70.4692,-68.5914,25.03,93,100,13.8,CA,1666544370
Ancud,-41.8697,-73.8203,49.78,78,100,18.28,CL,1666544370
Passo Fundo,-28.2628,-52.4067,73.65,56,40,11.5,BR,1666544154
Punta Arenas,-53.15,-70.9167,55.51,50,0,28.77,CL,1666544371
Kāvali,14.9167,79.9833,75.22,72,22,9.04,IN,1666544371
Atar,20.5169,-13.0499,98.91,8,1,8.34,MR,1666544372
Trat,12.5,102.5,76.14,91,40,1.28,TH,1666544372
Borogontsy,62.6683,131.1683,12.02,97,99,5.41,RU,1666544372
Leskolovo,60.2634,30.4546,41.61,79,100,6.33,RU,1666544373
Iwanai,42.9744,140.5089,43.52,90,70,9.53,JP,1666544373
Nizhniy Kuranakh,58.8353,125.4869,13.21,91,32,5.3,RU,1666544374
Lüderitz,-26.6481,15.1594,64.53,74,75,21.0,NA,1666544374
Nanortalik,60.1432,-45.2371,37.4,99,100,8.48,GL,1666544375
Pachino,36.7186,15.0907,71.98,66,12,13.58,IT,1666544375
Bonavista,48.6499,-53.1147,57.13,68,0,13.2,CA,1666544376
Funadhoo,6.15,73.2667,80.64,81,100,13.65,MV,1666544376
Kaeo,-35.1,173.7833,45.32,93,1,3.83,NZ,1666544377
Soubre,5.7856,-6.6083,77.58,94,89,3.8,CI,1666544377
Andros Town,24.7,-77.7667,84.16,60,5,12.3,BS,1666544377
Quryq,43.2,51.65,54.41,43,91,8.28,KZ,1666544378
Ipuã,-20.4381,-48.0122,91.47,27,7,6.04,BR,1666544379
Silleda,42.696,-8.2465,57.54,81,100,8.48,ES,1666544379
Acapulco de Juárez,16.8634,-99.8901,83.08,72,19,4.61,MX,1666544379
Hay River,60.8156,-115.7999,22.98,86,75,2.3,CA,1666544380
Pevek,69.7008,170.3133,16.05,95,100,6.17,RU,1666544380
Linxia Chengguanzhen,35.6003,103.2064,54.03,65,100,1.59,CN,1666544381
Altay,47.8667,88.1167,44.29,80,100,6.53,CN,1666544381
Vilhena,-12.7406,-60.1458,79.02,73,20,9.22,BR,1666544382
Olafsvik,64.8945,-23.7142,42.69,82,90,15.23,IS,1666544382
Albanel,48.8832,-72.4487,68.14,55,1,4.61,CA,1666544383
Oistins,13.0667,-59.5333,87.89,74,75,12.66,BB,1666544099
Casas Grandes,30.3667,-107.95,72.45,41,70,24.63,MX,1666544383
Caucayá,-0.1934,-74.7819,81.95,88,75,3.71,CO,1666544384
Santo Ângelo,-28.2992,-54.2631,79.12,65,40,13.8,BR,1666544384
Iwaki,37.05,140.8833,54.77,93,98,1.01,JP,1666544385
Nyurba,63.2842,118.3319,30.61,95,100,12.95,RU,1666544385
Goma,-1.6792,29.2228,66.76,72,73,4.23,CD,1666544386
Rocha,-34.4833,-54.3333,63.43,72,96,12.08,UY,1666544387
Tevaitoa,-16.7833,-151.5,78.53,76,87,11.95,PF,1666544387
Jacksonville,30.3322,-81.6556,80.85,66,0,6.91,US,1666544114
Asău,46.4333,26.4,54.52,84,34,5.37,RO,1666544388
Hilo,19.7297,-155.09,73.11,92,43,5.01,US,1666544388
Cabo San Lucas,22.8909,-109.9124,87.62,53,54,8.99,MX,1666543728
Luena,-11.7833,19.9167,74.98,49,64,3.58,AO,1666544389
Dunedin,-45.8742,170.5036,54.88,64,100,8.95,NZ,1666544389
Yangi Marg`ilon,40.4272,71.7189,52.52,76,100,6.91,UZ,1666544389
Codrington,-38.2667,141.9667,53.78,92,100,16.22,AU,1666544390
Dhidhdhoo,6.8833,73.1,81.27,79,98,10.09,MV,1666544391
Port Blair,11.6667,92.75,78.84,89,75,3.44,IN,1666544391
Saint-Augustin,51.226,-58.6502,57.81,46,44,16.8,CA,1666544391
Tyumen,57.1522,65.5272,28.49,63,0,11.18,RU,1666544392
Tilichiki,60.4667,166.1,9.16,89,18,6.06,RU,1666544392
Hithadhoo,-0.6,73.0833,82.2,70,31,4.76,MV,1666544393
Port Alfred,-33.5906,26.891,66.18,87,100,3.0,ZA,1666544394
Gladstone,-23.85,151.25,69.78,70,84,1.81,AU,1666544394
Arrondissement de Lisieux,49.1667,0.1667,65.16,74,60,20.54,FR,1666544394
Samarai,-10.6167,150.6667,79.79,79,33,6.55,PG,1666544395
Carora,10.1755,-70.0827,89.11,48,79,1.9,VE,1666544396
Kununurra,-15.7667,128.7333,92.48,34,40,6.58,AU,1666544397
Gillette,44.2911,-105.5022,35.02,93,100,5.01,US,1666544397
Ilulissat,69.2167,-51.1,33.94,92,100,2.39,GL,1666544398
Iquitos,-3.7481,-73.2472,78.84,94,100,8.05,PE,1666544399
Cidreira,-30.1811,-50.2056,70.36,67,45,5.59,BR,1666544399
Zhuanghe,39.7008,122.9911,44.98,50,0,5.17,CN,1666544399
Hanna,51.6334,-111.9018,31.86,94,100,5.01,CA,1666544120
Hasaki,35.7333,140.8333,60.22,77,74,26.55,JP,1666544400
Örnsköldsvik,63.2909,18.7153,32.95,80,13,6.91,SE,1666544401
General Roca,-39.0333,-67.5833,77.94,20,3,7.99,AR,1666544401
Barcelos,41.5388,-8.6151,64.85,90,97,10.33,PT,1666544402
Takoradze,4.8845,-1.7554,80.82,77,35,8.77,GH,1666544403
Krasnosel'kup,65.7,82.4667,27.39,84,100,17.05,RU,1666544403
Palauig,15.435,119.9045,80.28,82,77,2.55,PH,1666544405
Bagan,54.1001,77.6646,33.03,84,100,15.12,RU,1666544407
Kumul,42.8,93.45,55.51,27,0,5.1,CN,1666544408
Keflavik,64.0049,-22.5624,41.43,93,75,20.71,IS,1666544409
Curumaní,9.1999,-73.5427,82.71,87,92,3.02,CO,1666544230
Ostrovnoy,68.0531,39.5131,35.89,90,99,14.29,RU,1666544410
Malbork,54.0359,19.0266,55.89,87,82,4.16,PL,1666544411
Pacocha,-17.5833,-71.3333,67.37,66,63,7.58,PE,1666544411
Malartic,48.1335,-78.1328,64.02,70,1,9.26,CA,1666544412
Sokółka,53.4072,23.5023,54.32,97,99,6.42,PL,1666544412
Deputatsky,69.3,139.9,-1.34,96,97,4.79,RU,1666544413
Caravelas,-17.7125,-39.2481,83.3,61,66,11.23,BR,1666544414
Urusha,54.05,122.9,24.64,79,31,1.28,RU,1666544415
Poshekhon'ye,58.4993,39.1353,42.46,89,100,11.61,RU,1666544415
Sabha,27.0377,14.4283,70.9,22,0,9.69,LY,1666544416
Hue,16.4667,107.6,77.11,88,40,3.44,VN,1666544417
Ginir,7.1333,40.7,57.7,87,33,3.6,ET,1666544417
Am Timan,11.0297,20.2827,82.35,32,43,4.63,TD,1666544418
Norman Wells,65.282,-126.8329,18.82,92,100,0.78,CA,1666544419
Sur,22.5667,59.5289,80.26,47,0,3.47,OM,1666544420
Narsaq,60.9167,-46.05,37.62,98,100,7.09,GL,1666544420
Mana,5.6592,-53.7767,85.6,71,100,12.06,GF,1666544421
Te Anau,-45.4167,167.7167,51.3,96,100,2.73,NZ,1666544422
Richards Bay,-28.783,32.0377,70.39,91,43,1.68,ZA,1666544423
Äänekoski,62.6946,25.818,33.87,100,39,7.74,FI,1666544424
Lompoc,34.6391,-120.4579,68.77,65,0,5.99,US,1666544425
Sisimiut,66.9395,-53.6735,35.46,97,100,6.26,GL,1666544425
Berezovyy,51.6667,135.7,27.97,65,31,2.3,RU,1666544426
Bois-Guillaume,49.4602,1.1222,65.98,79,70,10.36,FR,1666544427
Srednekolymsk,67.45,153.6833,-1.62,94,97,7.7,RU,1666544427
Ukiah,39.1502,-123.2078,56.88,63,0,4.0,US,1666544281
Ixtapa,20.7,-105.2,84.22,80,100,1.99,MX,1666544418
North Myrtle Beach,33.816,-78.68,73.11,46,80,5.99,US,1666544230
Amahai,-3.3333,128.9167,79.03,84,100,1.39,ID,1666544429
Trairi,-3.2778,-39.2689,86.38,57,53,14.03,BR,1666544170
Lata,40.1629,-8.3327,65.07,81,66,8.88,PT,1666544433
Baijiantan,45.6333,85.1833,54.28,44,100,31.32,CN,1666544434
Kyabé,9.4515,18.9449,80.4,59,83,3.44,TD,1666544434
Kiunga,-6.1219,141.2906,72.45,99,79,1.72,PG,1666544435
Al Bardīyah,31.7561,25.0865,69.3,61,0,9.57,LY,1666544436
Ballina,-28.8667,153.5667,67.01,99,100,10.54,AU,1666544437
Vieux-Habitants,16.0589,-61.7659,89.17,66,7,5.37,GP,1666544438
Auriflama,-20.6856,-50.5547,91.06,31,19,5.68,BR,1666544438
Tasiilaq,65.6145,-37.6368,32.16,95,100,4.97,GL,1666544439
Yerbogachën,61.2767,108.0108,43.5,84,94,15.26,RU,1666544439
Longyearbyen,78.2186,15.6401,21.04,68,75,6.91,SJ,1666544440
Bandarbeyla,9.4942,50.8122,79.03,80,6,4.7,SO,1666544440
Alihe,50.5667,123.7167,25.5,65,0,2.64,CN,1666544441
San Patricio,28.017,-97.5169,85.89,54,100,20.18,US,1666544441
Leh,34.1667,77.5833,32.49,35,0,0.58,IN,1666544442
Ngunguru,-35.6167,174.5,50.81,85,9,6.67,NZ,1666544442
Matadi,-5.8167,13.45,88.57,56,100,6.11,CD,1666544443
Mayo,38.8876,-76.5119,66.45,75,100,5.01,US,1666544443
Vieques,18.425,-65.8329,91.67,69,11,9.4,PR,1666544444
Porbandar,21.6422,69.6093,82.49,54,0,4.52,IN,1666544444
Redmond,47.674,-122.1215,48.34,93,95,1.99,US,1666544356
Dikson,73.5069,80.5464,25.77,88,100,9.89,RU,1666544445
Tazovsky,67.4667,78.7,28.08,86,99,17.13,RU,1666544446
Šalčininkai,54.3,25.3833,50.85,87,99,7.11,LT,1666544446
Isoka,-10.1606,32.6335,79.25,27,68,4.43,ZM,1666544447
Vrises,35.492,23.8899,67.19,70,33,3.51,GR,1666544447
Almaty,43.25,76.95,46.85,85,100,3.22,KZ,1666544448
Cairns,-16.9167,145.7667,80.55,88,40,4.61,AU,1666544448
Saldanha,-33.0117,17.9442,63.3,87,88,24.9,ZA,1666544449
Visby,57.6409,18.296,49.05,87,100,2.3,SE,1666544173
Itarema,-2.9248,-39.9167,86.04,60,74,17.11,BR,1666544450
Mossamedes,-15.1961,12.1522,69.28,82,40,9.33,AO,1666544450
Severo-Kuril'sk,50.6789,156.125,37.08,98,100,7.85,RU,1666544451
Harper,4.375,-7.7169,79.11,83,92,8.01,LR,1666544452
Edéia,-17.3383,-49.9314,91.92,35,98,2.95,BR,1666544452
Yichun,47.7,128.9,24.98,72,0,2.24,CN,1666544453
Turukhansk,65.8167,87.9833,26.31,95,96,15.17,RU,1666544453
Pochutla,15.7432,-96.4661,85.82,70,22,5.12,MX,1666544454
East London,-33.0153,27.9116,69.75,77,80,13.44,ZA,1666544454
Berdigestyakh,62.0989,126.6992,26.53,94,99,7.23,RU,1666544455
Quatre Cocos,-20.2078,57.7625,73.09,81,44,9.89,MU,1666544456
Yulara,-25.2406,130.9889,68.31,46,24,15.57,AU,1666544456
Xining,36.6167,101.7667,48.43,63,100,0.6,CN,1666544457
Tabriz,38.08,46.2919,51.26,82,0,4.61,IR,1666544411
Tigil',57.8,158.6667,19.72,85,85,4.54,RU,1666544457
Petatlán,17.5167,-101.2667,85.44,64,83,3.65,MX,1666544205
Kavieng,-2.5744,150.7967,80.1,70,21,2.15,PG,1666544458
Chicama,-7.8447,-79.1469,72.84,56,89,10.42,PE,1666544458
Ilhabela,-23.7781,-45.3581,72.27,76,34,5.53,BR,1666544459
Lumeje,-11.55,20.7833,79.97,41,57,4.43,AO,1666544460
Vostok,46.4856,135.8833,25.2,96,20,1.25,RU,1666544460
Lagoa,39.05,-27.9833,64.67,68,92,25.57,PT,1666544461
Peniche,39.3558,-9.3811,66.29,87,83,15.21,PT,1666544462
Khāsh,28.2211,61.2158,66.47,25,0,5.61,IR,1666544462
Bubaque,11.2833,-15.8333,83.41,67,29,2.57,GW,1666544463
San Ignacio,17.1561,-89.0714,84.22,56,3,4.65,BZ,1666544463
Panabá,21.2833,-88.2667,85.64,41,0,6.64,MX,1666544464
Muros,42.7762,-9.0603,62.83,84,57,17.34,ES,1666544464
Aklavik,68.2191,-135.0107,10.76,97,93,2.8,CA,1666544465
Kayes,14.0,-11.0,90.45,31,95,3.89,ML,1666544465
Kitui,-1.367,38.0106,70.43,58,29,6.87,KE,1666544466
Sucilá,21.15,-88.3167,86.2,38,0,6.33,MX,1666544466
Dingle,10.9995,122.6711,76.26,91,75,5.59,PH,1666544467
Warman,52.3168,-106.5679,34.9,64,100,14.05,CA,1666544468
Jiwani,25.05,61.7417,80.67,72,0,11.63,PK,1666544468
San Cristobal,7.7669,-72.225,77.18,64,100,3.33,VE,1666544306
Cracow,43.7424,-82.8199,71.49,57,0,11.5,US,1666544469
Talara,-4.5772,-81.2719,67.82,73,98,19.51,PE,1666544469
Hashtrūd,37.4779,47.0508,55.11,57,0,1.9,IR,1666544470
Nikolskoye,59.7035,30.7861,44.49,86,100,7.11,RU,1666544470
Bukoba,-1.3317,31.8122,70.3,74,7,4.65,TZ,1666544471
Daru,-9.0763,143.2092,78.03,82,47,2.66,PG,1666544471
Tezu,27.9167,96.1667,73.08,64,99,2.55,IN,1666544472
Rosetta,31.4044,30.4164,72.66,65,1,15.75,EG,1666544472
Flinders,-34.5833,150.8552,64.18,93,100,4.0,AU,1666544473
Kurayoshi,35.4333,133.8167,54.0,86,99,9.93,JP,1666544473
Birjand,32.8663,59.2211,64.9,26,0,3.71,IR,1666544474
Kolomak,49.8399,35.3044,47.97,96,100,6.53,UA,1666544475
Esperance,-33.8667,121.9,56.34,68,76,19.35,AU,1666544475
Mount Isa,-20.7333,139.5,83.01,40,38,13.15,AU,1666544462
Miracema do Tocantins,-9.5618,-48.3967,96.71,35,67,3.56,BR,1666544476
Laško,46.1546,15.2356,65.12,98,79,4.45,SI,1666544477
Bambous Virieux,-20.3428,57.7575,73.22,82,46,10.16,MU,1666544477
Katsuura,35.1333,140.3,66.18,77,78,18.19,JP,1666544478
Kloulklubed,7.0419,134.2556,83.68,73,100,11.79,PW,1666544478
Launceston,-41.45,147.1667,49.6,80,96,21.85,AU,1666544479
Shingū,33.7333,135.9833,58.66,75,67,5.77,JP,1666544407
Ahipara,-35.1667,173.1667,50.2,87,1,2.89,NZ,1666544479
Manggar,-2.8833,108.2667,78.64,86,100,5.19,ID,1666544480
Havre-St-Pierre,50.2334,-63.5986,50.7,77,10,10.98,CA,1666544480
Grindavik,63.8424,-22.4338,41.47,93,75,20.71,IS,1666544481
Burgos,42.3394,-3.7079,59.41,55,20,25.32,ES,1666544481
Anaconda,46.1285,-112.9423,31.87,80,100,6.44,US,1666544482
Chernyshkovskiy,48.4219,42.2308,48.4,54,100,7.87,RU,1666544482
Yashkul',46.1711,45.3435,49.37,46,47,8.12,RU,1666544483
Glenluce,54.8798,-4.8084,54.88,94,100,5.61,GB,1666544483
Biabou,13.2,-61.1333,83.3,76,22,8.41,VC,1666544484
Poum,-20.2333,164.0167,74.23,91,100,28.92,NC,1666544484
Diamantino,-14.4086,-56.4461,81.52,68,100,1.45,BR,1666544485
Mandalgovi,45.7625,106.2708,40.28,37,0,8.75,MN,1666544485
Hobyo,5.3505,48.5268,79.41,80,94,11.9,SO,1666544486
Gamba,-2.65,10.0,77.61,88,96,8.61,GA,1666544486
Sayyan,15.1718,44.3244,59.43,22,0,5.35,YE,1666544487
Montero,-17.3333,-63.25,86.31,43,95,5.68,BO,1666544487
Kruisfontein,-34.0033,24.7314,68.88,90,100,4.23,ZA,1666544488
Kiama,-34.6833,150.8667,62.46,95,100,3.0,AU,1666544489
‘Āhuimanu,21.4447,-157.8378,74.79,88,28,3.0,US,1666544489
Rawson,-43.3002,-65.1023,76.75,19,63,17.11,AR,1666544458
